state,x,y
Jammu and Kashmir,-137,291
Himachal Pradesh,-118,225
Uttarakhand,-71,177
Punjab,-164,189
Haryana,-140,148
Delhi,-124,137
Sikkim,145,131
Arunachal Pradesh,297,122
Nagaland,307,69
Manipur,293,31
Mizoram,267,-10
Meghalaya,209,51
Tripura,202,5
Assam,233,74
Bihar,86,54
Uttar Pradesh,-36,86
Rajasthan,-203,77
Jharkhand,66,7
West Bengal,145,-13
Madhya Pradesh,-101,-13
Chhattisgarh,7,-50
Odisha,54,-78
Gujarat,-245,-13
Maharashtra,-161,-113
Telangana,-76,-149
Goa,-218,-203
Andhra Pradesh,-85,-220
Karnataka,-142,-257
Kerala,-156,-329
Tamil Nadu,-95,-318
Puducherry,-64,-285
Andaman and Nicobar,241,-333
Lakshadweep,-238,-310
